SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
88,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,15-05-2021 03:00,5
89,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,20-05-2021 07:00,1.5
90,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,20-05-2021 09:00,166.5
91,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 08:00,166.5
92,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 10:00,5
93,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 11:00,0.5
94,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 12:00,0.5
95,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 13:00,1
96,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 14:00,1
97,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 15:00,1
98,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 16:00,1
99,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 17:00,1
100,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 19:00,0.5
101,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 20:00,0.5
102,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 21:00,1
103,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 22:00,2.5
104,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-06-2021 23:00,2
105,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 00:00,1.5
106,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 01:00,1.5
107,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 02:00,1.5
108,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 03:00,0.5
109,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 04:00,0.5
110,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 05:00,0.5
111,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 06:00,0.5
112,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 08:00,0.5
113,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 09:00,0.5
114,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 10:00,0.5
115,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 11:00,0.5
116,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 13:00,0.5
117,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 14:00,0.5
118,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 17:00,0.5
119,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-06-2021 18:00,3
120,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,11-06-2021 02:00,0.5
121,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,11-06-2021 06:00,0.5
122,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,11-06-2021 07:00,0.5
123,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,17-06-2021 07:00,1
124,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,30-07-2021 06:00,166.5
125,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,01-08-2021 09:00,0.5
126,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,07-08-2021 15:00,126
127,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-08-2021 09:00,0.5
128,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,21-08-2021 02:00,0.5
129,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,21-08-2021 03:00,128
130,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,21-08-2021 21:00,16.5
131,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,03-09-2021 05:00,0.5
132,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,04-09-2021 07:00,14.5
133,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,06-09-2021 06:00,1
134,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,09-09-2021 09:00,0.5
135,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-09-2021 00:00,0.5
136,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,10-09-2021 15:00,3
137,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,11-09-2021 11:00,33.5
138,Delhi Railway Bridge,CWC,7,Delhi,80,NORTH,MODEL TOWN,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,28.66250000,77.24888889,16-09-2021 06:00,14.5
